time;PV Opgewekte energie totaal
"18/01 00:00";0
"18/01 00:15";0
"18/01 00:30";0
"18/01 00:45";0
"18/01 01:00";-1,4551915228366852e-11
"18/01 01:15";0
"18/01 01:30";0
"18/01 01:45";0
"18/01 02:00";0
"18/01 02:15";0
"18/01 02:30";0
"18/01 02:45";0
"18/01 03:00";0
"18/01 03:15";0
"18/01 03:30";-1,4551915228366852e-11
"18/01 03:45";1,4551915228366852e-11
"18/01 04:00";0
"18/01 04:15";0
"18/01 04:30";0
"18/01 04:45";0
"18/01 05:00";0
"18/01 05:15";0
"18/01 05:30";0
"18/01 05:45";-1,4551915228366852e-11
"18/01 06:00";1,4551915228366852e-11
"18/01 06:15";0
"18/01 06:30";0
"18/01 06:45";0
"18/01 07:00";0
"18/01 07:15";-1,4551915228366852e-11
"18/01 07:30";1,4551915228366852e-11
"18/01 07:45";-1,4551915228366852e-11
"18/01 08:00";1,4551915228366852e-11
"18/01 08:15";0
"18/01 08:30";0,20999159998609684
"18/01 08:45";0,37998480003443547
"18/01 09:00";0,6099755999748595
"18/01 09:15";1,549938000011025
"18/01 09:30";2,7798887999670114
"18/01 09:45";2,8648854000202846
"18/01 10:00";2,9673812999972142
"18/01 10:15";3,9548418000049423
"18/01 10:30";4,729810800025007
"18/01 10:45";4,359825599996839
"18/01 11:00";4,9098035999631975
"18/01 11:15";6,609735600010026
"18/01 11:30";7,707191699999385
"18/01 11:45";6,339746400029981
"18/01 12:00";7,789688399978331
"18/01 12:15";8,78964840003755
"18/01 12:30";5,14729409996653
"18/01 12:45";3,607355700005428
"18/01 13:00";3,3773648999776924
"18/01 13:15";3,3873645000276156
"18/01 13:30";3,3748649999906775
"18/01 13:45";3,8348466000170447
"18/01 14:00";3,609855599963339
"18/01 14:15";4,747310100006871
"18/01 14:30";5,747270099964226
"18/01 14:45";6,779728800043813
"18/01 15:00";5,497280099996715
"18/01 15:15";4,359825599996839
"18/01 15:30";3,007379700007732
"18/01 15:45";2,0699172000022372
"18/01 16:00";1,82992680001189
"18/01 16:15";0,9499620000133291
"18/01 16:30";0,6099755999748595
"18/01 16:45";0,21249149997311179
"18/01 17:00";0,08249670003715437
"18/01 17:15";0,05249789997469634
"18/01 17:30";0,014999400009401143
"18/01 17:45";0
"18/01 18:00";0
"18/01 18:15";0
"18/01 18:30";0
"18/01 18:45";0
"18/01 19:00";0
"18/01 19:15";0
"18/01 19:30";0
"18/01 19:45";0
"18/01 20:00";0
"18/01 20:15";0
"18/01 20:30";0
"18/01 20:45";0
"18/01 21:00";0
"18/01 21:15";0
"18/01 21:30";0
"18/01 21:45";0
"18/01 22:00";0
"18/01 22:15";0
"18/01 22:30";0
"18/01 22:45";0
"18/01 23:00";0
"18/01 23:15";0
"18/01 23:30";0
"18/01 23:45";0
