time,Buitentemperatuur,Export beperking,Globale straling,PV Opgewekte energie totaal
18/01/2025 09:50,-1.8,0,54,0.9549618
18/01/2025 09:55,-1.8,1,53,0.9549618
18/01/2025 10:00,-1.7,0,46,0.9891271
18/01/2025 10:05,-1.7,1,48,0.9891271
18/01/2025 10:10,-1.6,0,53,0.9891271
18/01/2025 10:15,-1.8,1,52,1.3182806
18/01/2025 10:20,-1.9,1,57,1.3182806
18/01/2025 10:25,-1.7,1,59,1.3182806
18/01/2025 10:30,-1.7,0,65,1.5766036
18/01/2025 10:35,-1.8,26,69,1.5766036
18/01/2025 10:40,-1.6,67,67,1.5766036
18/01/2025 10:45,-1.7,78,63,1.4532752
18/01/2025 10:50,-1.7,92,68,1.4532752
18/01/2025 10:55,-1.8,94,68,1.4532752
18/01/2025 11:00,-1.8,94,71,1.6366012
18/01/2025 11:05,-1.8,95,71,1.6366012
18/01/2025 11:10,-1.7,90,74,1.6366012
18/01/2025 11:15,-1.6,0,77,2.2032452
18/01/2025 11:20,-1.6,0,77,2.2032452
18/01/2025 11:25,-1.8,0,80,2.2032452
18/01/2025 11:30,-1.6,0,93,2.5690639
18/01/2025 11:35,-1.5,0,112,2.5690639
18/01/2025 11:40,-1.7,0,98,2.5690639
18/01/2025 11:45,-2,0,77,2.1132488
18/01/2025 11:50,-1.7,0,77,2.1132488
18/01/2025 11:55,-1.7,0,78,2.1132488
18/01/2025 12:00,-2,0,83,2.5965628
18/01/2025 12:05,-1.9,0,82,2.5965628
18/01/2025 12:10,-1.7,0,94,2.5965628
18/01/2025 12:15,-1.6,0,110,2.9298828
18/01/2025 12:20,-1.7,0,125,2.9298828
18/01/2025 12:25,-1.8,0,95,2.9298828
18/01/2025 12:30,-2,95,98,1.7157647
18/01/2025 12:35,-1.7,94,91,1.7157647
18/01/2025 12:40,-2,90,102,1.7157647
18/01/2025 12:45,-1.5,94,92,1.2024519
18/01/2025 12:50,-1.3,95,105,1.2024519
18/01/2025 12:55,-1.3,94,93,1.2024519
18/01/2025 13:00,-1.3,95,99,1.1257883
18/01/2025 13:05,-1.4,96,98,1.1257883
18/01/2025 13:10,-1.1,95,98,1.1257883
18/01/2025 13:15,-0.9,95,106,1.1291215
18/01/2025 13:20,-1,96,94,1.1291215
18/01/2025 13:25,-1.1,99,120,1.1291215
18/01/2025 13:30,-1.1,95,92,1.124955
18/01/2025 13:35,-1.1,95,122,1.124955
18/01/2025 13:40,-1,95,101,1.124955
18/01/2025 13:45,-1.3,95,72,1.2782822
18/01/2025 13:50,-1.4,93,90,1.2782822
18/01/2025 13:55,-1.2,95,87,1.2782822
18/01/2025 14:00,-1.1,95,92,1.2032852
18/01/2025 14:05,-1,100,90,1.2032852
18/01/2025 14:10,-1.1,96,89,1.2032852
18/01/2025 14:15,-1.1,96,90,1.5824367
18/01/2025 14:20,-1.1,95,71,1.5824367
18/01/2025 14:25,-1.2,35,74,1.5824367
18/01/2025 14:30,-1.2,0,72,1.9157567
18/01/2025 14:35,-1,0,70,1.9157567
18/01/2025 14:40,-1,0,77,1.9157567
18/01/2025 14:45,-1,0,85,2.2599096
18/01/2025 14:50,-0.9,0,89,2.2599096
18/01/2025 14:55,-0.9,0,96,2.2599096
18/01/2025 15:00,-1,0,85,1.8324267
18/01/2025 15:05,-0.9,0,73,1.8324267
18/01/2025 15:10,-0.9,0,76,1.8324267
18/01/2025 15:15,-0.9,0,75,1.4532752
18/01/2025 15:20,-1,0,61,1.4532752
18/01/2025 15:25,-1.1,0,64,1.4532752
18/01/2025 15:30,-1,0,70,1.0024599
18/01/2025 15:35,-1,5,51,1.0024599
18/01/2025 15:40,-0.9,1,52,1.0024599
18/01/2025 15:45,-0.8,0,49,0.6899724
18/01/2025 15:50,-0.8,0,46,0.6899724
18/01/2025 15:55,-0.9,1,43,0.6899724
18/01/2025 16:00,-1,0,44,0.6099756
18/01/2025 16:05,-1,0,38,0.6099756
18/01/2025 16:10,-0.9,0,44,0.6099756
18/01/2025 16:15,-0.8,0,49,0.316654
18/01/2025 16:20,-0.7,0,32,0.316654
18/01/2025 16:25,-0.8,0,33,0.316654
18/01/2025 16:30,-0.9,0,30,0.2033252
18/01/2025 16:35,-1,0,34,0.2033252
18/01/2025 16:40,-0.9,0,21,0.2033252
18/01/2025 16:45,-0.9,0,21,0.0708305
18/01/2025 16:50,-0.7,0,0,0.0708305
18/01/2025 16:55,-0.8,0,0,0.0708305
18/01/2025 17:00,-1.1,0,0,0.0274989
18/01/2025 17:05,-1,0,0,0.0274989
18/01/2025 17:10,-1,0,0,0.0274989
18/01/2025 17:15,-0.8,0,0,0.0174993
18/01/2025 17:20,-1,0,0,0.0174993
